"calf_id","breed","heifer_calf","birth_bw","study","cow_id","dam","dam_present","position","other_calves","termination_reason","event_length_s","behavior","calf_age","min_to_next_SB","allosuckling","twin","allogrooming"
2464,"SH",1,42.1,"cow-driven",715,1,1,"S",1,"Calf walks/moves away",416,"suckling_bout",3,"-","0","no","0"
2464,"SH",1,42.1,"cow-driven",2127,0,1,"-",0,"Calf walks/moves away",23,"close_to_udder",3,"482","-","no","-"
2464,"SH",1,42.1,"cow-driven",715,1,1,"-",0,"Calf walks/moves away",159,"close_to_udder",3,"474","-","no","-"
2464,"SH",1,42.1,"cow-driven",757,0,1,"S",1,"Calf walks/moves away",754,"suckling_bout",3,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",715,1,1,"S",0,"Cow walks/moves away",811,"suckling_bout",6,"-","0","no","0"
2464,"SH",1,42.1,"cow-driven",603,0,0,"S",1,"Other",280,"suckling_bout",6,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",2114,0,0,"-",1,"Calf walks/moves away",27,"close_to_udder",6,"381","-","no","-"
2464,"SH",1,42.1,"cow-driven",908,0,0,"S",1,"Cow walks/moves away",777,"suckling_bout",6,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",908,0,0,"-",1,"Cow kicks out/disrupts bout",18,"close_to_udder",6,"67","-","no","-"
2464,"SH",1,42.1,"cow-driven",757,0,0,"B",1,"Calf walks/moves away",407,"suckling_bout",6,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",715,1,1,"S",0,"Calf walks/moves away",1086,"suckling_bout",9,"-","0","no","1"
2464,"SH",1,42.1,"cow-driven",715,1,1,"-",0,"Calf walks/moves away",106,"close_to_udder",9,"373","-","no","-"
2464,"SH",1,42.1,"cow-driven",715,1,1,"S",0,"Calf walks/moves away",1075,"suckling_bout",9,"-","0","no","0"
2464,"SH",1,42.1,"cow-driven",2139,0,0,"S",1,"Cow kicks out/disrupts bout",850,"suckling_bout",9,"-","1","no","1"
2464,"SH",1,42.1,"cow-driven",504,0,0,"-",0,"Calf walks/moves away",40,"close_to_udder",9,"586","-","no","-"
2464,"SH",1,42.1,"cow-driven",715,1,1,"-",0,"Cow walks/moves away",35,"close_to_udder",9,"82","-","no","-"
2464,"SH",1,42.1,"cow-driven",715,1,1,"-",0,"Calf walks/moves away",225,"close_to_udder",9,"15","-","no","-"
2464,"SH",1,42.1,"cow-driven",504,0,0,"S",1,"Cow walks/moves away",754,"suckling_bout",9,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",715,1,1,"R",0,"Calf walks/moves away",1391,"suckling_bout",12,"-","0","no","1"
2464,"SH",1,42.1,"cow-driven",2114,0,0,"R",1,"Calf walks/moves away",578,"suckling_bout",12,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",715,1,1,"R",0,"Calf walks/moves away",881,"suckling_bout",12,"-","0","no","0"
2464,"SH",1,42.1,"cow-driven",2106,0,0,"B",1,"Calf walks/moves away",362,"suckling_bout",12,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",2122,0,0,"-",0,"Cow walks/moves away",46,"close_to_udder",12,"14","-","no","-"
2464,"SH",1,42.1,"cow-driven",2139,0,0,"-",0,"Calf walks/moves away",71,"close_to_udder",12,"12","-","no","-"
2464,"SH",1,42.1,"cow-driven",2127,0,0,"-",0,"Cow walks/moves away",37,"close_to_udder",12,"6","-","no","-"
2464,"SH",1,42.1,"cow-driven",2127,0,0,"R",1,"Cow kicks out/disrupts bout",657,"suckling_bout",12,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",2114,0,0,"S",1,"Calf walks/moves away",987,"suckling_bout",12,"-","1","no","0"
2464,"SH",1,42.1,"cow-driven",603,0,1,"-",1,"Calf walks/moves away",285,"close_to_udder",15,"7","-","no","-"
2464,"SH",1,42.1,"cow-driven",715,1,1,"S",0,"Cow walks/moves away",639,"suckling_bout",15,"-","0","no","0"
2466,"SR",1,34.8,"cow-driven",2106,0,1,"-",1,"Calf walks/moves away",107,"close_to_udder",3,"231","-","no","-"
2466,"SR",1,34.8,"cow-driven",2124,1,1,"-",0,"Calf walks/moves away",34,"close_to_udder",3,"226","-","no","-"
2466,"SR",1,34.8,"cow-driven",757,0,0,"S",1,"Calf walks/moves away",530,"suckling_bout",3,"-","1","no","0"
2466,"SR",1,34.8,"cow-driven",2139,0,0,"B",1,"Calf walks/moves away",268,"suckling_bout",3,"-","1","no","0"
2466,"SR",1,34.8,"cow-driven",2139,0,0,"-",1,"Calf walks/moves away",97,"close_to_udder",3,"8","-","no","-"
